track_name,title,url,job_type,client_location,description,experience_level,skills,proposals,interviewing,invites_sent,unanswered_invites,client_total_spent,duration,hires,active,average_budget,work_hours_Flexible,work_hours_Less than 30 hrs/week,work_hours_More than 30 hrs/week,reversed_log_client_total_spent
android_developer,Create simple Web App for taxi business for customers to book trips online using escrow payment,https://www.upwork.com/jobs/Create-simple-Web-App-for-taxi-business-for-customers-book-trips-online-using-escrow-payment_~021898377891861965802/?referrer_url_path=/nx/search/jobs/,1,Australia,"Web App Development: Online Taxi Booking System  

Overview
We need a simple yet efficient Web App for a small taxi business, allowing passengers to book trips online seamlessly. The application should provide a user-friendly interface for customers to enter trip details, calculate fares, make payments, and enable admins to manage bookings efficiently.



Core Features & Functionality

1. Customer Booking Form  
Customers should be able to enter the following details:  
- Customer Name  
- Customer mobile number
- Pick-up Address (Google Maps integration for accurate input & auto-complete)  
- Drop-off Address (Google Maps integration for accurate input & auto-complete)  
- Number of Passengers
- Add Stop/Multiple Destinations Option (if required)  
- Date & Time Selection:
  - Book Now (immediate trip request)  
  - Schedule for Later (calendar-based date & time selection)  

2. Fare Calculation & Payment Processing  
- The system will calculate the trip fare based on a formula that we will provide later.  
- Customers proceed with payment, which will be held in escrow (or any better alternative recommended by the developer).  

3. Booking Approval Process (Admin Panel)  
- Admin receives a notification for each booking request.  
- Admin can Accept or Reject the booking.  
- If Rejected: Payment is automatically refunded, and the customer is notified with the reason (e.g., ""No driver available"").  
- If Accepted:  
  - Admin is prompted to assign the ride to a driver from a predefined driver list.  
  - Customer receives booking confirmation text with driver details  

4. Ride Completion & Cancellation Handling
- Once a ride is accepted, admin is prompted with:  
  - End Ride (indicating the trip was successfully completed).  
  - Ride Cancelled (if a cancellation occurs).  
- If the ride is cancelled after being accepted, the payment is refunded back to the customer automatically.  

5. Driver Management (Admin Panel)  
- Ability to maintain a list of drivers in the system.  
- Assign drivers to accepted rides.  
- Show assigned driver details to customers upon booking confirmation.  



Technical Considerations
- Google Maps API for location inputs and fare estimation.  
- Escrow-based payment solution (or developer’s recommendation for an alternative secure transaction system).  
- Admin Panel for managing bookings and drivers.  
- Responsive UI (desktop & mobile-friendly). We can provide this if needed.
- Scalability for future mobile app development (Android & iOS).  

We look forward to a long-term collaboration for future improvements and eventually mobile app development.  Looking forward to working with the right developer to help grow our small passenger transport business! 🙏",3,"['Web Application', 'C#', 'JavaScript', 'PHP', 'Python', 'Square', 'Web Development', 'Haskell', 'Java', 'Payment Gateway Integration']",2,2.0,0.0,0.0,1400.0,0,43.0,19.0,50.0,1,0,0,1399.9999999999998
android_developer,Mobile App Developer,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span_~021898376568641564624/?referrer_url_path=/nx/search/jobs/,1,Switzerland,"to build a fully functional mobile application. The ideal candidate should have experience in designing and developing mobile apps from scratch, ensuring smooth performance, user-friendly UI/UX, and compatibility across different devices.

Requirements:
• Proven experience in mobile app development (iOS, Android, or both)
• Strong understanding of app architecture, APIs, and backend integration
• Ability to develop a scalable and well-optimized app
• Experience with UI/UX design principles
• Good communication skills and ability to meet deadlines

If you are confident in your ability to deliver a high-quality mobile app, please submit your portfolio along with your proposal. Let’s discuss how we can bring this project to life!",3,"['Google Play', 'AI Mobile App Development', 'Tablet', 'iOS Development', 'Android App Development', 'iOS', 'Smartphone', 'Realm Database', 'Mobile App Development', 'User Authentication', 'Android']",6,0.0,0.0,0.0,6400.0,0,5.0,0.0,5000.0,1,0,0,6399.9999999999945
android_developer,"Develop AI Bots for a Poker Game (Unity, C#)",https://www.upwork.com/jobs/span-class-highlight-Develop-span-Bots-for-Poker-Game-Unity_~021898357904128031866/?referrer_url_path=/nx/search/jobs/,0,Israel,"Project Description:
I am looking for an experienced Unity developer proficient in C# to enhance the AI of bots in my Texas Hold'em poker game. The game is already developed, but the bots do not perform automatic actions, and their decision-making system needs improvement. Additionally, turn management should be improved to ensure smooth gameplay.

Main Tasks:

Fix Basic Issues

Ensure turns pass correctly between players.

Update tblBetAmt so that it updates correctly after every bet.

Verify that isBot is correctly assigned to bots in the game.

Enhance AI System for Bots

Make bots perform actions (Check, Call, Raise, Fold) based on board state and hand strength.

Implement a probability-based decision-making system (e.g., bluffing mechanics).

Add timers for bots to simulate human behavior.

Implement Full Hand Ranking System

Develop a system to detect the strongest hands (Straight, Flush, Full House, etc.).

Compare hands to determine the winner at the end of each round (Showdown).

Handle tie cases (Split Pot).

Manage Side Pots for All-in Scenarios

Handle multiple side pots based on players' bet amounts.

Distribute winnings correctly according to Texas Hold'em rules.

Improve User Experience (UX) & Animations

Display real-time game notifications (""Player X went All-in!"").

Add animations for bot actions.

Improve the display of the winning hand with explanations.

Bug Fixes & Testing

Conduct comprehensive logic testing to ensure smooth gameplay.

Optimize code performance to prevent lag or freezing.

Requirements:

Strong experience in Unity and C#.

Prior experience with card games or AI systems is a plus.

Ability to modify existing code without changing the project structure.

Availability for communication and code sharing via Git or Unity Collaborate.

Project Details:

Platform: Unity 2019.4+ (Android)

Tech Stack: C#, Unity Engine

Payment: Hourly rate or fixed price per project stage

How to Apply?
Please submit your bid along with examples of similar projects you have worked on. Mention any relevant experience in poker games or turn-based systems.

Thank you and good luck!",1,"['C#', 'Game Development', 'MySQL', 'iOS', 'Unity', 'Android']",2,5.0,14.0,9.0,50.0,2,4.0,1.0,5.0,0,1,0,49.99999999999999
android_developer,Reverse Engineering an Android App | 🚀 URGENT,https://www.upwork.com/jobs/Reverse-Engineering-span-class-highlight-Android-span-App-URGENT_~021898356410852943907/?referrer_url_path=/nx/search/jobs/,1,Bangladesh,"I need assistance in reverse engineering an Android app for DutchBros (https://www.dutchbros.com/). The goal is to uncover the hidden API endpoints that the app communicates with.

Problem:

    I can see some of the requests from the app, but other requests are not being tracked. It seems like there is an SSL pinning issue preventing the capture of these requests.

Requirements:

    Expertise in reverse engineering Android applications.
    Ability to bypass SSL pinning for the app.
    Identify and extract all API endpoints used by the app, including those not visible due to SSL pinning.
    Experience with tools like Frida, Objection, or any other methods for bypassing SSL pinning in Android apps.

Deliverables:

    A setup that bypasses the SSL pinning and allows full interception of the app's API requests.
    A list of all API endpoints the app communicates with.

If you're experienced in SSL pinning bypass and reverse engineering Android apps, please reach out and provide details of similar work you have done.

🚀URGENT HELP NEED",2,"['Google Play', 'Reverse Engineering', 'Tablet', 'iOS Development', 'Android App Development', 'iOS', 'Smartphone', 'Mobile App Development', 'User Authentication', 'Android']",2,4.0,9.0,2.0,1800.0,0,10.0,1.0,200.0,1,0,0,1800.0000000000005
android_developer,Convert Web App UI (v0.dev) to SwiftUI – Front-End Only,https://www.upwork.com/jobs/Convert-Web-App-dev-SwiftUI-Front-End-Only_~021898354407879845923/?referrer_url_path=/nx/search/jobs/,1,United Kingdom,"I have designed a photo storage app UI using v0.dev (React-based) and need a skilled iOS SwiftUI developer to manually recreate the front-end in SwiftUI. No backend integration is required at this stage—just a fully functional front-end UI that mirrors the web design.

✅Key Responsibilities ✅:
Convert the provided React UI (v0.dev) to SwiftUI with pixel-perfect accuracy.
Implement smooth animations, transitions, and scrolling behaviors (similar to Apple Photos).
Create a full-screen camera UI, album previews, and interactive albums.
Ensure adaptive design for different iPhone & iPad screen sizes.
Implement tab navigation, carousels, modals, and AI feature icons.
Use SwiftUI best practices to make the UI smooth and scalable.

✅Ideal Candidate ✅:
Expert in Swift & SwiftUI with a portfolio of visually rich iOS apps.
Experience in UI animation & transitions in SwiftUI.
Familiar with adaptive layouts & navigation controllers.
Previous experience in photo apps, gallery apps, or media-heavy UI (a plus).

✅What I’ll Provide ✅:
The full v0.dev design files (React-based).
A breakdown of each screen & component behaviour.",2,"['Google Play', 'Figma', 'Tablet', 'iOS Development', 'Adaptive & Responsive Design', 'Android App Development', 'UIKit', 'React', 'SwiftUI', 'iOS', 'Smartphone', 'Mobile App Development', 'User Authentication', 'Android']",2,0.0,2.0,2.0,84.0,0,8.0,3.0,150.0,1,0,0,83.99999999999999
android_developer,Unity Developer Needed to Fix Vimeo SDK Video Playback Bug,https://www.upwork.com/jobs/Unity-span-class-highlight-Developer-span-Needed-Fix-Vimeo-SDK-Video-Playback-Bug_~021898345912995097578/?referrer_url_path=/nx/search/jobs/,1,United States,"We are seeking an experienced Unity developer to troubleshoot and fix a bug in our app that utilizes the Unity Vimeo SDK for video playback. Currently, the videos are not playing as expected, and we need someone who can identify the root cause and implement a solution efficiently. If you have a strong background in Unity development and are familiar with video SDKs, we want to hear from you. Please provide examples of similar issues you have resolved in the past.",2,"['Google Play', 'Tablet', 'iOS Development', 'Android App Development', 'User Authentication', 'iOS', 'Smartphone', 'Mobile App Development', 'Unity', 'Android']",2,1.0,5.0,3.0,6100.0,0,60.0,4.0,50.0,1,0,0,6099.999999999998
android_developer,Developer Needed for Customizing & Integrating a Sudoku Game,https://www.upwork.com/jobs/span-class-highlight-Developer-span-Needed-for-Customizing-amp-Integrating-Sudoku-Game_~021898344682196185040/?referrer_url_path=/nx/search/jobs/,0,Cyprus,"I am looking for a developer to customize an existing open-source Sudoku game and integrate it into a larger puzzle game platform. The game should have three difficulty levels (Easy, Medium, Hard) and include a Daily Challenge mode with a new puzzle each day.

Project Details:

- The game should be sourced from an open-source project (GitHub or similar) and modified to meet the required features.
- It must be fully responsive and optimized for both desktop and mobile users.
- The game should be designed to be easily integrated into an existing gaming platform.
- Monetization will be introduced in phases, starting as an ads-free experience, with subscriptions and ads added later.

Key Features & Requirements:

-Customization of an existing Sudoku game
-Three difficulty levels (Easy, Medium, Hard)
-Daily Challenge mode with unique puzzles each day
-Smooth and user-friendly gameplay across all devices
-UI improvements to match the design of the platform
-Performance optimization for fast loading times
-Future support for ads and subscription-based monetization
-Integration-ready structure for seamless platform compatibility

What I Need From You:

-A quote per feature to assess costs accurately.
-Estimated time frame for development and integration.
-Experience with HTML5/JavaScript-based web games and modifying existing game logic.
-Understanding of game monetization strategies (optional but preferred).

This project is a key part of a larger puzzle game platform, so clean and scalable code is essential. If you have experience working with open-source games and integrating them into a broader system, I’d love to hear from you.",3,"['C#', 'Mobile Game', 'Game Development', 'Personal Computer', 'MySQL', 'iOS', 'Smartphone', 'Unity', 'Android']",2,2.0,0.0,0.0,1900.0,2,10.0,1.0,37.5,0,0,1,1900.0000000000005
android_developer,Experienced Full-Stack App Developer with AI,https://www.upwork.com/jobs/Experienced-Full-Stack-App-span-class-highlight-Developer-span-with_~021898344064891105232/?referrer_url_path=/nx/search/jobs/,1,Lebanon,"This job is only for new Entry-level freelancers in app development. I am looking for a skilled and experienced full-stack mobile app developer who is fluent in Arabic. The developer will be responsible for building a mobile app that integrates AI, supports subscriptions, and includes various additional features.

Key Requirements:

Expertise in full-stack development for mobile apps (iOS/Android)
Experience integrating AI technologies into mobile apps
Ability to implement subscription-based models
Proficiency in both frontend and backend development
Availability to work and deliver within a tight timeline (completion required in under 1 month)
Fluent in Arabic and able to communicate effectively",2,"['Google Play', 'Tablet', 'iOS Development', 'Android App Development', 'iOS', 'Smartphone', 'Mobile App Development', 'User Authentication', 'Android']",1,1.0,1.0,1.0,,0,2.0,2.0,175.0,1,0,0,2992.0480503341832
android_developer,Flutter App Code Review for Subscription Management,https://www.upwork.com/jobs/Flutter-App-Code-Review-for-Subscription-Management_~021898340830404619242/?referrer_url_path=/nx/search/jobs/,1,Netherlands,"We are seeking an experienced Flutter app reviewer to analyze our subscription management application. Your role will involve a thorough review of the codebase, ensuring consistency, performance, and adherence to best practices. Your insights will be invaluable in identifying areas for improvement and optimizing the app for better user experience. If you have a strong background in Flutter development and a keen eye for detail, we want to hear from you!",2,"['Google Play', 'Tablet', 'iOS Development', 'Android App Development', 'iOS', 'Smartphone', 'Flutter', 'Mobile App Development', 'User Authentication', 'Review or Feedback Collection', 'Android']",5,0.0,0.0,0.0,22000.0,0,14.0,5.0,250.0,1,0,0,22000.0
android_developer,Expo Chess AI - connect managed Expo app to C++ native chess AI code,https://www.upwork.com/jobs/Expo-Chess-connect-managed-Expo-app-native-chess-code_~021898335609095404666/?referrer_url_path=/nx/search/jobs/,1,Australia,"I'm working on a new chess AI mobile app (www.smallchess.com). I have the UI app on React Native Typescript, and AI chess engine in C++ (no chess AI is done in JavaScript).

I have a running managed mobile Expo app for the chess AI on both iOS/Android in React Native. I want to connect my app to a custom C++ code. Precisely, the C++ code will run as an infinite while loop, the goal is to communicate from the Expo React Native code with this C++ while loop.

It should be possible with an Object-C native module bridge.  Please check the attachment for a high level description.

If you're interested in learning how chess AI works - please come! I can show you how to integrate a chess AI into a production ready mobile app.",2,"['Google Play', 'Tablet', 'React Native', 'Android App Development', 'iOS Development', 'iOS', 'Smartphone', 'Mobile App Development', 'User Authentication', 'Android']",1,0.0,0.0,0.0,,0,1.0,1.0,20.0,1,0,0,2992.0480503341832
